Age,Gender,Focus_Level,Minutes_Concentrate
54,1,2,131
57,1,4,370
63,1,3,274
10,1,1,106
13,1,5,462
69,1,1,89
13,0,2,146
49,0,3,290
19,0,4,379
29,1,2,152
31,0,5,454
60,0,2,158
46,1,1,99
33,0,2,197
16,1,3,289
34,1,1,100
34,1,1,76
22,0,3,260
68,0,1,102
11,1,1,75
48,1,4,362
49,0,5,453
33,0,2,215
56,1,4,364
34,0,5,435
27,0,4,356
47,1,4,384
35,1,2,183
23,0,1,107
18,0,2,160
19,1,5,473
30,1,3,247
61,0,2,121
26,0,2,123
61,0,5,467
15,1,1,77
25,0,3,228
57,1,3,297
10,0,3,234
28,1,3,279
45,0,4,370
34,0,5,458
59,1,5,429
61,1,1,71
39,0,3,248
29,1,1,109
29,1,4,412
24,0,3,284
49,0,5,440
42,1,3,236
11,0,2,197
19,0,1,116
67,0,4,417
42,0,1,104
41,0,3,238
20,1,3,282
62,1,3,256
33,0,4,380
45,0,5,463
21,0,4,389
60,0,3,229
65,1,1,102
38,1,3,324
44,1,5,482
10,0,2,155
10,1,1,68
46,0,5,474
63,0,4,400
15,1,2,170
48,1,1,113
50,0,1,114
62,1,1,100
27,1,5,482
25,0,3,229
14,1,3,270
51,0,5,475
52,1,5,443
68,0,3,238
41,0,3,254
66,0,1,82
11,1,5,447
11,0,4,399
49,1,2,168
51,0,1,78
67,1,2,139
45,0,2,162
48,1,4,388
65,1,2,191
21,0,3,319
56,0,2,184
28,1,4,363
37,0,4,333
10,1,5,433
24,1,1,84
45,0,5,430
63,1,4,355
22,1,1,84
67,1,1,114
52,0,5,474
30,0,3,288
21,0,3,234
14,0,4,352
16,0,2,180
14,0,4,421
57,0,4,342
62,1,3,248
13,1,4,402
22,1,3,285
46,0,4,412
62,0,5,444
50,1,2,143
24,0,5,480
25,1,2,164
30,1,5,459
45,0,2,151
68,1,4,336
33,0,4,348
25,0,3,244
23,1,3,277
63,1,3,284
31,1,1,77
58,1,1,119
59,1,5,426
15,1,2,192
51,0,5,477
45,1,1,104
10,1,3,261
41,0,3,262
15,1,2,165
40,1,3,278
10,0,2,123
59,1,2,163
60,1,2,191
46,1,2,180
44,1,1,103
58,0,5,435
39,0,4,377
13,0,4,359
44,0,4,351
52,1,1,114
23,0,4,420
58,0,1,69
49,1,4,328
31,1,4,419
19,1,4,400
10,0,5,453
20,0,3,260
60,1,1,109
53,1,5,442
68,1,4,341
33,1,2,154
69,1,4,382
12,1,3,267
67,0,4,366
44,1,3,225
45,0,1,109
40,0,1,75
69,1,1,67
13,0,3,271
28,0,3,281
56,1,5,431
45,0,4,325
30,1,5,458
27,1,2,125
60,0,1,77
37,1,1,68
24,0,5,455
51,1,5,434
68,0,5,449
11,0,4,413
46,0,3,260
20,1,1,63
32,0,3,282
53,1,4,348
50,1,1,106
21,1,5,441
12,0,5,431
61,1,4,399
26,0,2,173
42,0,4,382
64,1,2,166
10,0,5,468
48,1,2,160
29,1,2,198
56,0,4,392
52,1,2,171
61,1,3,319
66,0,4,355
70,0,5,441
50,0,4,423
23,1,4,400
40,0,5,449
34,0,2,131
12,0,4,374
13,1,1,78
40,1,2,201
44,0,2,167
53,1,4,359
23,0,5,424
58,1,4,339
50,1,2,151
18,0,2,215
29,0,5,452
41,0,4,386
18,0,5,468
36,1,5,435
12,0,1,87
66,1,3,249
62,0,2,213
13,1,3,276
54,1,1,115
24,1,1,92
42,1,5,440
14,1,1,72
13,0,3,271
55,0,2,121
21,1,2,166
70,1,1,85
32,1,5,458
23,0,2,220
67,0,3,321
55,0,3,319
21,1,4,411
66,0,3,246
26,1,4,327
34,0,4,376
39,0,5,447
31,0,3,235
56,1,3,284
35,0,3,225
26,1,1,101
70,0,5,431
67,0,1,106
64,0,4,345
63,0,3,294
29,1,5,430
43,1,4,359
50,1,5,433
42,0,2,172
46,0,2,143
69,1,4,374
69,1,3,259
67,1,5,430
16,0,4,391
31,1,1,87
41,1,1,106
23,0,1,93
17,0,1,113
66,1,1,66
34,1,1,71
25,1,1,91
51,1,4,425
28,0,4,358
50,1,1,116
64,1,1,89
25,0,1,61
21,1,1,84
48,0,1,68
57,0,5,464
39,1,2,179
67,0,3,304
11,1,2,156
41,0,4,340
64,1,3,262
54,0,5,468
34,1,3,284
34,1,2,176
13,0,3,300
28,0,5,453
57,1,1,118
13,1,2,166
52,0,2,190
22,0,4,373
48,1,5,467
45,1,3,301
32,1,2,167
15,1,2,177
33,1,4,385
53,0,5,428
42,0,4,349
21,1,2,152
50,1,3,259
30,0,1,86
20,1,4,398
64,1,2,191
53,0,3,252
47,1,5,466
38,0,2,203
57,0,2,195
50,0,3,307
12,0,5,438
37,1,5,474
29,1,2,183
35,1,3,238
33,1,3,324
63,1,2,132
61,1,1,89
56,1,3,244
30,0,1,75
63,1,4,391
39,1,2,142
13,1,3,246
45,1,3,224
49,0,5,477
19,0,2,211
19,1,3,292
51,0,5,461
33,1,1,119
13,1,4,347
56,1,1,119
36,0,5,467
60,1,2,183
54,0,2,156
13,0,4,399
41,1,2,206
19,0,5,447
20,1,5,453
37,0,1,80
55,0,5,467
17,0,3,263
49,1,4,386
31,0,2,175
43,1,4,379
54,1,3,244
44,0,1,108
44,1,4,327
34,1,5,472
43,1,1,119
15,1,1,85
50,0,2,155
46,0,3,280
10,0,4,407
21,0,1,60
44,0,3,233
15,0,2,121
63,1,1,63
26,1,1,81
18,1,2,130
11,1,5,446
27,1,4,384
58,1,1,120
45,1,4,373
66,0,5,435
37,0,1,115
50,0,1,68
62,0,2,157
46,1,5,462
58,0,5,456
35,1,1,105
13,1,3,297
49,1,1,115
70,1,1,67
45,1,1,83
60,0,2,127
40,0,5,446
39,1,5,439
59,1,5,471
43,0,5,428
28,1,5,466
27,1,5,465
39,1,3,268
30,1,2,143
12,1,5,453
15,0,1,65
47,1,3,319
22,0,2,191
54,1,3,297
63,0,3,304
12,0,1,120
57,1,4,413
37,1,3,235
31,1,5,475
49,1,3,306
49,1,2,128
21,1,4,358
32,0,4,364
40,1,5,464
27,0,3,244
16,1,2,127
17,1,2,219
28,0,4,360
38,1,4,409
53,0,5,430
29,1,3,253
59,1,1,105
51,0,1,91
39,0,3,258
56,0,1,119
31,1,4,360
19,1,1,108
35,0,2,174
60,0,5,424
42,0,5,473
37,1,1,77
19,0,3,247
38,0,5,459
53,1,3,290
27,0,4,391
51,0,3,264
68,1,3,245
10,0,2,136
32,1,5,441
26,0,5,434
52,1,1,114
46,0,4,372
40,1,3,307
34,0,4,393
62,1,3,251
13,0,5,469
61,1,5,445
18,0,1,107
66,1,5,475
37,1,1,91
39,0,4,363
69,0,5,448
56,0,1,67
33,1,2,161
42,0,5,449
29,0,1,104
18,1,2,157
17,1,4,332
33,0,2,139
23,1,3,232
68,0,1,101
27,0,2,207
66,1,5,437
62,1,3,307
65,1,3,302
10,0,4,354
21,0,2,127
38,1,1,102
46,1,3,309
35,1,2,197
42,1,1,103
52,1,1,113
24,1,3,242
32,0,3,271
38,1,1,121
30,1,1,111
28,1,2,172
14,0,1,80
32,1,4,379
45,1,1,71
68,0,1,117
29,1,1,105
17,1,1,65
18,1,3,281
23,0,3,278
15,1,1,65
10,1,3,290
18,1,1,63
25,0,3,309
25,0,3,282
63,1,2,154
21,1,4,388
14,1,5,481
49,1,5,461
38,0,4,419
55,1,5,478
36,0,1,103
20,1,3,229
62,1,2,161
56,1,1,63
59,1,3,313
37,0,4,422
61,1,3,264
45,0,5,457
51,1,4,370
28,1,2,173
63,0,4,402
44,0,4,340
61,1,1,88
40,1,4,400
63,0,5,448
68,0,1,109
53,0,1,112
65,0,3,272
70,1,3,284
70,0,5,432
28,0,1,109
55,1,3,252
33,1,4,370
11,1,3,262
16,0,5,440
52,1,1,77
63,0,3,265
58,1,1,88
40,0,5,461
69,0,5,474
26,1,2,128
36,0,1,63
70,0,1,108
45,1,2,160
68,1,5,449
59,1,1,113
52,0,4,365
19,1,2,131
54,0,5,465
23,1,4,396
67,1,3,283
16,0,2,218
48,0,5,435
49,0,2,174
18,1,4,404
23,1,1,88
66,1,2,217
17,0,3,251
26,1,5,444
66,1,4,414
32,0,5,456
66,1,3,232
25,0,4,419
35,1,2,173
18,1,1,74
45,0,1,60
16,1,1,86
27,1,4,347
17,0,4,416
30,1,4,342
35,0,2,181
12,0,2,177
70,1,5,457
26,1,1,78
66,0,3,309
60,1,3,322
55,1,5,451
33,0,3,311
34,1,2,195
14,1,3,250
46,0,2,192
54,0,4,406
59,0,5,460
33,0,2,210
40,0,4,358
64,1,4,402
35,0,3,240
30,0,4,413
43,1,3,263
47,0,3,272
67,1,5,439
33,1,1,64
37,0,1,79
39,1,3,301
43,1,4,409
61,0,5,468
63,0,1,101
65,0,2,168
61,1,4,393
